YEAR,CODE,PROVINCE_THAI,MALE,FEMALE,POP,HH
6512,65,จังหวัดพิษณุโลก,"412,742","431,752","844,494","363,476"
6512,66,จังหวัดพิจิตร,"256,341","269,603","525,944","202,835"
6512,67,จังหวัดเพชรบูรณ์,"479,134","494,252","973,386","373,933"
6512,70,จังหวัดราชบุรี,"420,322","445,485","865,807","338,676"
6512,71,จังหวัดกาญจนบุรี,"448,109","446,174","894,283","359,348"
6512,72,จังหวัดสุพรรณบุรี,"400,366","430,329","830,695","315,286"
6512,73,จังหวัดนครปฐม,"442,350","479,532","921,882","426,205"
6512,74,จังหวัดสมุทรสาคร,"283,474","305,954","589,428","309,823"
6512,75,จังหวัดสมุทรสงคราม,"90,381","99,072","189,453","75,048"
6512,76,จังหวัดเพชรบุรี,"232,601","250,349","482,950","229,092"
6512,77,จังหวัดประจวบคีรีขันธ์,"273,525","279,773","553,298","282,967"
6512,80,จังหวัดนครศรีธรรมราช,"762,647","782,500","1,545,147","599,937"
6512,81,จังหวัดกระบี่,"238,455","241,602","480,057","201,080"
6512,82,จังหวัดพังงา,"133,459","133,983","267,442","122,210"
6512,83,จังหวัดภูเก็ต,"197,101","220,790","417,891","281,204"
6512,84,จังหวัดสุราษฎร์ธานี,"527,555","546,108","1,073,663","530,712"
6512,85,จังหวัดระนอง,"97,803","96,423","194,226","95,752"
6512,86,จังหวัดชุมพร,"251,226","258,159","509,385","248,311"
6512,90,จังหวัดสงขลา,"696,482","734,581","1,431,063","572,645"
6512,91,จังหวัดสตูล,"161,878","163,425","325,303","109,030"
6512,92,จังหวัดตรัง,"311,849","326,357","638,206","241,159"
6512,93,จังหวัดพัทลุง,"253,817","267,802","521,619","202,367"
6512,94,จังหวัดปัตตานี,"362,263","370,692","732,955","201,433"
6512,95,จังหวัดยะลา,"271,480","274,433","545,913","175,981"
6512,96,จังหวัดนราธิวาส,"402,665","411,456","814,121","226,505"
